"date","TRMMEANCPIM158SFRBCLE","CPIAUCSL"
1990-01-01,5.91199399490903,0.00950118764845608
1990-02-01,4.47900001668391,0.00392156862745098
1990-03-01,5.1279147173972,0.00468749999999996
1990-04-01,3.95306410161054,0.00233281493001564
1990-05-01,3.04159562242827,0.00155159038013955
1990-06-01,6.55761209811907,0.0061967467079784
1990-07-01,5.82475020186575,0.00461893764434176
1990-08-01,6.3936470798823,0.00842911877394632
1990-09-01,4.11606833063138,0.00683890577507603
1990-10-01,4.3591421976336,0.00679245283018872
1990-11-01,4.29177721401581,0.00224887556221876
1990-12-01,4.28055383486987,0.0037397157816006
1991-01-01,7.20044057776987,0.003725782414307
1991-02-01,3.80146912706327,0.000742390497401802
1991-03-01,2.54931061597194,0
1991-04-01,3.43203147402122,0.0022255192878337
1991-05-01,4.19329699604554,0.00370096225018505
1991-06-01,2.80502932682682,0.00294985250737467
1991-07-01,4.15592174168715,0.00147058823529403
1991-08-01,3.63643683716413,0.00293685756240827
1991-09-01,4.03267049317428,0.00292825768667647
1991-10-01,2.24272837797286,0.00145985401459846
1991-11-01,4.36787736238435,0.00437317784256576
1991-12-01,3.84866556095402,0.00290275761973859
1992-01-01,2.77180186727874,0.000723589001447343
1992-02-01,2.18151278728569,0.002169197396963
1992-03-01,3.48155038616365,0.00360750360750361
1992-04-01,2.78902969130912,0.00215672178289009
1992-05-01,2.83703516008307,0.00215208034433273
1992-06-01,3.87475610969692,0.00286327845382968
1992-07-01,2.81733800556927,0.00285510349750183
1992-08-01,2.40327251792452,0.00213523131672606
1992-09-01,2.24640240788765,0.0021306818181817
1992-10-01,3.98166613711179,0.0042523033309709
1992-11-01,3.11685915772095,0.00282286520818635
1992-12-01,2.31010425459341,0.00140745953553847
1993-01-01,3.36892657298127,0.00351370344342937
1993-02-01,2.94666286930934,0.00210084033613433
1993-03-01,1.9870706404723,0.00139762403913359
1993-04-01,4.14720254987073,0.00348918353105373
1993-05-01,2.89614680596324,0.00278164116828913
1993-06-01,2.41063127482837,0.000693481276005706
1993-07-01,1.62112182709142,0.00138600138600131
1993-08-01,3.12426490637996,0.00207612456747413
1993-09-01,2.42289694687017,0.00138121546961318
1993-10-01,3.44069576574901,0.00413793103448272
1993-11-01,3.35532021556624,0.00274725274725279
1993-12-01,2.98857143183806,0.00205479452054802
1994-01-01,1.78808881542767,0
1994-02-01,3.15512715323287,0.00273410799726574
1994-03-01,2.57264547204354,0.00272665303340154
1994-04-01,1.90767935702421,0.000679809653297038
1994-05-01,2.90969774225236,0.00203804347826095
1994-06-01,3.23664435357045,0.0027118644067797
1994-07-01,2.64636587699298,0.00338066260987153
1994-08-01,3.56949962685633,0.00404312668463608
1994-09-01,2.5787870325594,0.00201342281879202
1994-10-01,1.71493366984994,0.000669792364367008
1994-11-01,3.47783569244213,0.00267737617135211
1994-12-01,0.799716354119062,0.00200267022696918
1995-01-01,3.83996994997808,0.00266489007328451
1995-02-01,3.17241387043128,0.00265780730897014
1995-03-01,2.73243420881641,0.00198807157057643
1995-04-01,3.16006594434597,0.00396825396825412
1995-05-01,2.88752433451684,0.00197628458498012
1995-06-01,2.04940182953357,0.00197238658777128
1995-07-01,2.30765363171199,0.00131233595800517
1995-08-01,3.16253542118343,0.00196592398427268
1995-09-01,2.81733800556927,0.00130804447351202
1995-10-01,3.34295222440779,0.00261267145656437
1995-11-01,2.12889431212009,0.00130293159609113
1995-12-01,2.6193292145648,0.00130123617436576
1996-01-01,3.8996101130838,0.00519818063677702
1996-02-01,2.77672383261167,0.00193923723335495
1996-03-01,2.79764459601377,0.0032258064516129
1996-04-01,2.59598490929387,0.00385852090032151
1996-05-01,2.98980428177402,0.0019218449711724
1996-06-01,2.28682443992863,0.00191815856777483
1996-07-01,3.03172894265187,0.00191448627951507
1996-08-01,2.32480997794542,0.0012738853503184
1996-09-01,3.16006594434597,0.00318066157760814
1996-10-01,3.13784337854557,0.00317057704502219
1996-11-01,3.21811269058916,0.00316055625790139
1996-12-01,2.24885182839818,0.00252047889098932
1997-01-01,2.74473520639524,0.0018856065367694
1997-02-01,2.31623140386805,0.00188205771643653
1997-03-01,1.52860610960277,0.00062617407639338
1997-04-01,1.97973978732586,0.000625782227784695
1997-05-01,2.04817930262642,0
1997-06-01,2.51984224973099,0.00187617260787982
1997-07-01,2.11666106081898,0.00124843945068675
1997-08-01,1.56024763205127,0.00249376558603495
1997-09-01,2.39223557689998,0.00248756218905458
1997-10-01,2.47197253112932,0.0018610421836229
1997-11-01,2.00051165029278,0.00123839009287919
1997-12-01,1.84054645750973,0.000618429189857902
1998-01-01,1.8771594013155,0.00123609394313961
1998-02-01,1.69055942802159,0
1998-03-01,2.27212372088985,0
1998-04-01,2.03473253497801,0.0012345679012345
1998-05-01,2.50879350657738,0.00246609124537611
1998-06-01,1.7783320764523,0.00123001230012311
1998-07-01,2.30520291999103,0.00245700245700232
1998-08-01,2.602127750794,0.00122549019607854
1998-09-01,1.01751469822002,0.000611995104039133
1998-10-01,2.19252919047734,0.00244648318042817
1998-11-01,1.99928966028131,0.00122025625381323
1998-12-01,1.42157913619332,0.00182815356489952
1999-01-01,1.37053456795104,0.00182481751824807
1999-02-01,0.858963241618471,0
1999-03-01,1.08657400127974,0.000607164541590909
1999-04-01,3.26753742803474,0.00667475728155336
1999-05-01,1.38511630656133,0.000602772754671455
1999-06-01,1.37904028954823,0
1999-07-01,2.12400079343689,0.00421686746987945
1999-08-01,2.21211645298574,0.00239952009598084
1999-09-01,3.16870935035511,0.00418910831837233
